#,Nome,Sq.,Under,R.,FM,FVMP,P,S
7120,Lang,Napoli,26,A,0,7,,
6675,Dovbyk,Roma,28,A,"5,5",7,3,
6831,Neres,Napoli,28,C,6,7,,
1933,Mandragora,Fiorentina,28,C,"7,33",7,1,
2296,Mancini,Roma,29,D,6,7,1,
7017,Douvikas,Como,26,A,"7,17",7,,
6252,Folorunsho,Cagliari,27,C,6,7,,
6106,Carboni V.,Genoa,20,C,6,7,,
5526,Scalvini,Atalanta,22,D,7,7,2,
5336,Nzola,Pisa,29,A,"5,83",7,,
2077,Pasalic,Atalanta,30,C,"7,83",7,,
4976,Kalulu,Juventus,25,D,"5,67",7,1,
7249,Buksa,Udinese,29,A,6,7,,
441,Belotti,Cagliari,32,A,"5,5",7,,
5998,Zerbin,Cremonese,26,C,"6,67",7,,
5888,Casadei,Torino,22,C,6,7,,
5862,Valeri,Parma,27,D,"5,83",7,,
7146,Tourè I.,Pisa,27,C,"6,5",6,,
6629,Dele-Bashiru,Lazio,24,C,"5,5",6,,
2766,Zaniolo,Udinese,26,C,"5,5",6,,
4317,N'Dicka,Roma,26,D,"6,33",6,,
513,Acerbi,Inter,37,D,"5,83",6,,
4360,Caprile,Cagliari,24,P,"5,83",6,,
7162,Giovane,Verona,22,A,"6,5",6,,
6653,Bravo,Udinese,20,A,"7,75",6,,
4436,Cambiaghi,Bologna,25,A,"5,5",6,,
7135,Stanciu,Genoa,32,C,6,6,,
5850,Lovric,Udinese,27,C,"7,5",6,,
2848,Frattesi,Inter,26,C,0,6,1,
4751,Tomori,Milan,28,D,"5,83",6,,
2155,Cutrone,Parma,27,A,"7,5",6,,
7070,Sucic P.,Inter,22,C,"6,5",6,,
6722,Gronbaek,Genoa,24,C,"5,5",6,,
4287,Lobotka,Napoli,31,C,6,6,,
6145,Ngonge,Torino,25,A,"5,83",6,,
7203,Jashari,Milan,23,C,"5,5",6,,
7132,Collocolo,Cremonese,26,C,6,6,,
5858,Ferguson,Bologna,26,C,6,6,,
4349,Nicolussi Caviglia,Fiorentina,25,C,6,6,,
4186,Guendouzi,Lazio,26,C,"6,83",6,,
